StudentID,Gender,ParentIncome,IQ,ParentEncouragement,CollegePlans
60,Male,31770,90,Encouraged,Does not plan to attend
61,Male,79310,110,Encouraged,Plans to attend
62,Female,36600,109,Not Encouraged,Does not plan to attend
63,Female,66770,114,Encouraged,Plans to attend
64,Male,59400,103,Encouraged,Plans to attend
65,Female,61700,100,Not Encouraged,Does not plan to attend
66,Female,60720,99,Encouraged,Plans to attend
67,Female,33570,104,Encouraged,Does not plan to attend
68,Male,63360,102,Encouraged,Plans to attend
69,Female,68530,92,Encouraged,Plans to attend
70,Female,11600,75,Not Encouraged,Does not plan to attend
71,Female,60170,109,Encouraged,Plans to attend
72,Female,35550,73,Encouraged,Does not plan to attend
73,Male,61820,107,Encouraged,Plans to attend
74,Female,38610,64,Encouraged,Does not plan to attend
75,Female,55330,109,Encouraged,Plans to attend
76,Female,38200,100,Not Encouraged,Does not plan to attend
77,Female,43010,99,Encouraged,Plans to attend
78,Female,16900,108,Not Encouraged,Does not plan to attend
79,Female,20800,65,Not Encouraged,Does not plan to attend
80,Male,38100,90,Not Encouraged,Does not plan to attend
81,Female,11790,98,Encouraged,Does not plan to attend
82,Female,74910,112,Encouraged,Plans to attend
83,Female,27990,127,Encouraged,Does not plan to attend
84,Male,33120,91,Encouraged,Does not plan to attend
85,Male,44990,105,Encouraged,Plans to attend
86,Female,42390,122,Encouraged,Does not plan to attend
87,Female,7200,98,Not Encouraged,Does not plan to attend
88,Male,23980,99,Encouraged,Plans to attend
89,Female,66990,136,Encouraged,Plans to attend
90,Female,46090,110,Encouraged,Plans to attend
91,Male,79420,122,Encouraged,Plans to attend
92,Female,65520,95,Encouraged,Does not plan to attend
93,Female,65340,126,Encouraged,Does not plan to attend
94,Male,33800,96,Not Encouraged,Does not plan to attend
95,Female,34400,72,Not Encouraged,Does not plan to attend
96,Male,58630,102,Encouraged,Plans to attend
97,Male,60940,132,Encouraged,Plans to attend
98,Female,43450,133,Encouraged,Plans to attend
99,Male,6600,61,Not Encouraged,Does not plan to attend
100,Female,39500,133,Not Encouraged,Does not plan to attend
101,Male,19170,100,Encouraged,Does not plan to attend
102,Female,50820,71,Encouraged,Plans to attend
154,Male,7600,99,Not Encouraged,Does not plan to attend
155,Male,11700,98,Encouraged,Does not plan to attend
156,Female,37980,96,Encouraged,Does not plan to attend
157,Male,43470,98,Encouraged,Does not plan to attend
158,Male,34000,134,Not Encouraged,Does not plan to attend
159,Female,74360,129,Encouraged,Plans to attend
160,Female,73900,124,Not Encouraged,Plans to attend
161,Female,40770,134,Encouraged,Does not plan to attend
162,Female,64130,103,Encouraged,Plans to attend
163,Male,15900,78,Not Encouraged,Does not plan to attend
164,Female,63720,92,Encouraged,Does not plan to attend
165,Female,41580,94,Encouraged,Plans to attend
166,Male,15570,71,Encouraged,Does not plan to attend
167,Male,24300,98,Not Encouraged,Does not plan to attend
168,Male,56900,140,Not Encouraged,Plans to attend
169,Female,29300,91,Not Encouraged,Does not plan to attend
170,Male,28900,86,Not Encouraged,Does not plan to attend
171,Female,60600,132,Not Encouraged,Plans to attend
172,Female,29370,117,Encouraged,Plans to attend
173,Female,13000,137,Not Encouraged,Does not plan to attend
174,Female,42390,132,Encouraged,Does not plan to attend
175,Female,78320,105,Encouraged,Plans to attend
176,Male,59850,106,Encouraged,Does not plan to attend
177,Female,12200,83,Not Encouraged,Does not plan to attend
178,Female,50700,98,Not Encouraged,Does not plan to attend
179,Male,17000,76,Not Encouraged,Does not plan to attend
180,Male,31000,94,Not Encouraged,Does not plan to attend
181,Male,38070,93,Encouraged,Does not plan to attend
182,Male,39800,103,Not Encouraged,Does not plan to attend
183,Female,54230,129,Encouraged,Plans to attend
184,Female,53020,109,Encouraged,Plans to attend
185,Male,62810,103,Encouraged,Plans to attend
186,Male,43010,104,Encouraged,Plans to attend
187,Female,49500,66,Not Encouraged,Does not plan to attend
188,Female,34200,127,Not Encouraged,Does not plan to attend
189,Female,29300,95,Not Encouraged,Does not plan to attend
190,Male,10300,87,Not Encouraged,Does not plan to attend
191,Male,27720,128,Encouraged,Does not plan to attend
192,Male,57750,130,Encouraged,Plans to attend
193,Female,38500,116,Encouraged,Plans to attend
194,Female,49300,88,Not Encouraged,Does not plan to attend
195,Female,10400,100,Not Encouraged,Does not plan to attend
196,Female,26910,74,Encouraged,Does not plan to attend
197,Female,15620,105,Encouraged,Plans to attend
198,Male,16170,102,Encouraged,Plans to attend
199,Male,37400,106,Encouraged,Plans to attend
200,Female,13600,86,Not Encouraged,Does not plan to attend
201,Male,45700,98,Not Encouraged,Does not plan to attend
202,Female,38700,60,Not Encouraged,Does not plan to attend
203,Male,9100,91,Not Encouraged,Does not plan to attend
204,Female,47200,102,Not Encouraged,Does not plan to attend
256,Female,32310,108,Encouraged,Does not plan to attend
257,Male,34200,73,Encouraged,Does not plan to attend
258,Male,40920,98,Encouraged,Plans to attend
259,Female,73260,128,Encouraged,Plans to attend
260,Female,30960,91,Encouraged,Does not plan to attend
261,Male,30780,108,Encouraged,Does not plan to attend
262,Male,77770,100,Encouraged,Plans to attend
263,Male,38600,105,Not Encouraged,Does not plan to attend
264,Male,50380,69,Encouraged,Plans to attend
265,Female,42240,109,Encouraged,Plans to attend
266,Male,49590,120,Encouraged,Does not plan to attend
267,Female,9600,85,Not Encouraged,Does not plan to attend
268,Female,48870,98,Encouraged,Does not plan to attend
269,Female,35190,83,Encouraged,Does not plan to attend
270,Female,47740,91,Encouraged,Plans to attend
271,Male,46310,131,Encouraged,Plans to attend
272,Male,40040,106,Encouraged,Plans to attend
273,Female,38300,127,Not Encouraged,Does not plan to attend
274,Female,72820,129,Encouraged,Plans to attend
275,Female,32500,63,Not Encouraged,Does not plan to attend
276,Female,50300,136,Not Encouraged,Plans to attend
277,Female,24700,90,Not Encouraged,Does not plan to attend
278,Female,27300,65,Not Encouraged,Does not plan to attend
279,Female,30700,100,Not Encouraged,Does not plan to attend
280,Female,55110,99,Encouraged,Plans to attend
281,Male,43100,100,Not Encouraged,Does not plan to attend
282,Male,39100,73,Not Encouraged,Does not plan to attend
283,Female,29430,71,Encouraged,Does not plan to attend
284,Male,37500,129,Not Encouraged,Does not plan to attend
285,Female,70400,65,Not Encouraged,Does not plan to attend
286,Female,19500,95,Not Encouraged,Does not plan to attend
287,Male,5850,91,Encouraged,Does not plan to attend
288,Female,49280,104,Encouraged,Plans to attend
289,Male,74250,94,Encouraged,Plans to attend
290,Female,37500,60,Not Encouraged,Does not plan to attend
291,Female,37800,78,Not Encouraged,Does not plan to attend
292,Female,5300,96,Not Encouraged,Does not plan to attend
293,Female,36600,93,Not Encouraged,Does not plan to attend
294,Female,65200,96,Not Encouraged,Does not plan to attend
295,Female,45320,119,Encouraged,Plans to attend
296,Female,16380,110,Encouraged,Does not plan to attend
297,Male,48800,100,Not Encouraged,Does not plan to attend
298,Female,61050,104,Encouraged,Plans to attend
299,Female,7400,109,Not Encouraged,Does not plan to attend
300,Male,36600,92,Not Encouraged,Does not plan to attend
301,Male,19200,92,Not Encouraged,Does not plan to attend
302,Female,48500,94,Not Encouraged,Does not plan to attend
303,Female,13800,61,Not Encouraged,Does not plan to attend
304,Female,36740,102,Encouraged,Plans to attend
305,Female,30300,86,Not Encouraged,Plans to attend
306,Female,42130,92,Encouraged,Plans to attend
358,Female,41500,106,Not Encouraged,Does not plan to attend
359,Female,17400,73,Not Encouraged,Does not plan to attend
360,Female,37800,104,Not Encouraged,Does not plan to attend
361,Male,18400,79,Not Encouraged,Does not plan to attend
362,Female,16900,95,Not Encouraged,Does not plan to attend
363,Female,18000,81,Not Encouraged,Does not plan to attend
364,Male,44300,109,Not Encouraged,Does not plan to attend
365,Female,81180,126,Encouraged,Plans to attend
366,Male,7100,107,Not Encouraged,Does not plan to attend
367,Female,33600,68,Not Encouraged,Does not plan to attend
368,Male,49940,133,Encouraged,Plans to attend
369,Male,5000,102,Not Encouraged,Does not plan to attend
370,Female,59290,90,Encouraged,Plans to attend
371,Male,41490,107,Encouraged,Does not plan to attend
372,Male,10230,88,Encouraged,Plans to attend
373,Male,33990,108,Encouraged,Plans to attend
374,Male,27830,104,Encouraged,Plans to attend
375,Male,51260,102,Encouraged,Plans to attend
376,Male,11330,69,Encouraged,Plans to attend
377,Female,31500,105,Not Encouraged,Does not plan to attend
378,Female,38790,62,Encouraged,Does not plan to attend
379,Male,51040,102,Encouraged,Plans to attend
380,Female,19800,127,Not Encouraged,Does not plan to attend
381,Female,11700,140,Not Encouraged,Does not plan to attend
382,Female,35400,106,Not Encouraged,Does not plan to attend
383,Female,33200,108,Not Encouraged,Does not plan to attend
384,Male,13950,136,Encouraged,Does not plan to attend
385,Female,27270,99,Encouraged,Does not plan to attend
386,Female,35300,98,Not Encouraged,Plans to attend
387,Female,63800,100,Encouraged,Plans to attend
388,Male,44900,104,Not Encouraged,Does not plan to attend
389,Female,22300,92,Not Encouraged,Does not plan to attend
390,Male,25600,63,Not Encouraged,Does not plan to attend
391,Male,6400,88,Not Encouraged,Does not plan to attend
392,Male,42300,93,Encouraged,Does not plan to attend
393,Male,35000,99,Not Encouraged,Does not plan to attend
394,Female,74140,97,Encouraged,Plans to attend
395,Female,46900,107,Not Encouraged,Does not plan to attend
396,Male,65670,118,Encouraged,Plans to attend
397,Male,60480,112,Encouraged,Does not plan to attend
398,Female,11900,96,Not Encouraged,Does not plan to attend
399,Female,20500,75,Not Encouraged,Does not plan to attend
400,Female,36180,123,Encouraged,Does not plan to attend
401,Male,47500,122,Not Encouraged,Does not plan to attend
402,Female,72930,94,Encouraged,Plans to attend
403,Female,51150,100,Encouraged,Plans to attend
404,Female,61700,91,Not Encouraged,Does not plan to attend
405,Female,26500,64,Not Encouraged,Does not plan to attend
406,Female,5000,74,Not Encouraged,Does not plan to attend
407,Female,51260,140,Encouraged,Plans to attend
408,Male,28500,87,Not Encouraged,Does not plan to attend
460,Male,30900,126,Not Encouraged,Does not plan to attend
461,Female,38300,101,Not Encouraged,Does not plan to attend
462,Female,57300,88,Not Encouraged,Does not plan to attend
463,Male,6300,73,Not Encouraged,Does not plan to attend
464,Male,51150,65,Encouraged,Plans to attend
465,Female,31100,109,Not Encouraged,Does not plan to attend
466,Female,48900,95,Not Encouraged,Does not plan to attend
467,Female,18000,91,Not Encouraged,Does not plan to attend
468,Male,44100,126,Encouraged,Does not plan to attend
469,Female,34000,61,Not Encouraged,Does not plan to attend
470,Male,21000,74,Not Encouraged,Does not plan to attend
471,Male,42840,95,Encouraged,Does not plan to attend
472,Female,35900,114,Not Encouraged,Plans to attend
473,Male,35200,139,Not Encouraged,Does not plan to attend
474,Female,35400,71,Not Encouraged,Does not plan to attend
475,Female,36700,95,Not Encouraged,Does not plan to attend
476,Female,47200,73,Not Encouraged,Does not plan to attend
477,Female,43020,105,Encouraged,Does not plan to attend
478,Male,32580,99,Encouraged,Does not plan to attend
479,Male,18270,121,Encouraged,Does not plan to attend
480,Male,48000,74,Not Encouraged,Does not plan to attend
481,Male,34980,96,Encouraged,Plans to attend
482,Female,68900,130,Not Encouraged,Does not plan to attend
483,Female,12200,84,Not Encouraged,Does not plan to attend
484,Male,57300,133,Not Encouraged,Does not plan to attend
485,Female,14300,117,Not Encouraged,Does not plan to attend
486,Female,59200,133,Not Encouraged,Does not plan to attend
487,Female,49600,70,Not Encouraged,Does not plan to attend
488,Male,57510,126,Encouraged,Does not plan to attend
489,Male,20900,74,Not Encouraged,Does not plan to attend
490,Male,51810,100,Encouraged,Plans to attend
491,Female,59040,79,Encouraged,Does not plan to attend
492,Female,58400,122,Not Encouraged,Plans to attend
493,Female,55260,97,Encouraged,Does not plan to attend
494,Female,46700,99,Not Encouraged,Does not plan to attend
495,Male,32890,117,Encouraged,Plans to attend
496,Female,36450,94,Encouraged,Does not plan to attend
497,Male,24400,62,Not Encouraged,Does not plan to attend
498,Female,26500,94,Not Encouraged,Does not plan to attend
499,Female,52690,69,Encouraged,Plans to attend
500,Female,73590,107,Encouraged,Plans to attend
501,Female,16400,84,Not Encouraged,Does not plan to attend
